POINT_OF_SALE_ID;PRODUCT_EXTENSION_ID;PRODUCT_ID;IS_BEING_SOLD;MIN_AGE_REQUIREMENT
2;1;1563;1;
2;2;1564;1;
2;3;1565;1;
2;4;1566;1;
2;5;1567;1;
2;6;1568;1;
2;7;1569;1;
2;8;1570;1;
2;9;1571;1;
2;10;1572;1;
2;11;1573;1;
2;12;1574;1;
2;13;1575;1;
2;14;1576;1;
2;15;1577;1;
2;16;1578;1;
2;17;1579;1;
2;18;1580;1;
2;19;1581;1;
2;20;1582;1;
2;21;1583;1;
2;22;1584;1;
2;23;1585;1;
2;24;1586;1;
2;25;1587;1;
2;26;1588;1;
2;27;1589;1;
2;28;1590;1;
2;29;1591;1;
2;30;1592;1;
2;31;1593;1;
2;32;1594;1;
2;33;1595;1;
2;34;1596;1;
2;35;1597;1;
2;36;1598;1;
2;37;1599;1;
2;38;1600;1;
2;39;1601;1;
2;40;1602;1;
2;41;1603;1;
2;42;1604;1;
2;43;1605;1;
2;44;1606;1;
2;45;1607;1;
2;46;1608;1;
2;47;1609;1;
2;48;1610;1;
2;49;1611;1;
2;50;1612;1;
2;51;1613;1;
2;52;1614;1;
2;53;1615;1;
2;54;1616;1;
2;55;1617;1;
2;56;1618;1;
2;57;1619;1;
2;58;1620;1;
2;59;1621;1;
2;60;1622;1;
2;61;1623;1;
2;62;1624;1;
2;63;1625;1;
2;64;1626;1;
2;65;1627;1;
2;66;1628;1;
2;67;1629;1;
2;68;1630;1;
2;69;1631;1;
2;70;1632;1;
2;71;1633;1;
2;72;1634;1;
2;73;1635;1;
2;74;1636;1;
2;75;1637;1;
2;76;1638;1;
2;77;1639;1;
2;78;1640;1;
2;79;1641;1;
2;80;1642;1;
2;81;1643;1;
2;82;1644;1;
2;83;1645;1;
2;84;1646;1;
2;85;1647;1;
2;86;1648;1;
2;87;1649;1;
2;88;1650;1;
2;89;1651;1;
2;90;1652;1;
2;91;1653;1;
2;92;1654;1;
2;93;1655;1;
2;94;1656;1;
2;95;1657;1;
2;96;1658;1;
2;97;1659;1;
2;98;1660;1;
2;99;1661;1;
2;100;1662;1;
2;101;1663;1;
2;102;1664;1;
2;103;1665;1;
2;104;1666;1;
2;105;1667;1;
2;106;1668;1;
2;107;1669;1;
2;108;1670;1;
2;109;1671;1;
2;110;1672;1;
2;111;1673;1;
2;112;1674;1;
2;113;1675;1;
2;114;1676;1;
2;115;1677;1;
