PRODUCT_ID;STOCK
0;63
1;64
2;45
3;43
4;371
5;1
6;1
7;1
8;1412
9;1
10;72
11;1
12;1
13;45
14;443
15;1
16;0
17;928
18;258
19;1
20;61
21;283
22;637
23;1
24;48
25;106
26;67
27;1
28;92
29;604
30;452
31;14312
32;1
33;11
34;136
35;2912
36;1
37;14568
38;35220
39;1
40;14864
41;1
42;139
43;45
44;792
45;1
46;438
47;41766
48;1
49;1
50;39
51;345
52;66
53;1
54;652
55;1
56;1
57;252
58;69
59;1298
60;1
61;497
62;1
63;270
64;4362
65;1
66;1
67;81
68;43
69;1
70;58
71;1
72;50
73;60
74;308
75;638
76;1
77;894
78;551
79;1
80;1
81;394
82;1
83;1
84;106
85;1
86;1
87;154
88;3703
89;1
90;135
91;1
92;88
93;491
94;1
95;135
96;1
97;197
98;1
99;58
100;2202
101;1
102;709
103;1
104;482
105;1
106;829
107;1
108;1
109;2782
110;1
111;31
112;67
113;31
114;63
115;314
116;782
117;1
118;83
119;66
120;23
121;13
122;1340
123;1
124;1
125;147
126;191
127;100
128;1
129;1
130;67
131;36
132;253
133;1
134;39
135;481
136;1
137;64
138;1
139;22
140;219
141;1
142;26
143;15
144;1
145;73
146;1922
147;1
148;1
149;660
150;1
151;1
152;23
153;1
154;601
155;338
156;1
157;1
158;116
159;1
160;1005
161;1
162;109
163;236
164;21
165;129
166;41
167;50
168;52
169;2943
170;1
171;1
172;72
173;44
174;987
175;1
176;1
177;467
178;596
179;1
180;18
181;49
182;29
183;272
184;1336
185;1
186;1
187;54
188;246
189;1
190;85
191;151
192;57
193;1
194;338
195;1
196;246
197;1
198;240
199;107
200;925
201;1
202;396
203;51
204;56
205;26
206;1
207;360
208;138
209;1
210;209
211;1
212;280
213;1
214;335
215;1
216;50
217;102
218;1
219;246
220;1
221;290
222;1
223;34
224;3383
225;1
226;240
227;1
228;666
229;1
230;10
231;440
232;1
233;196
234;107
235;1
236;2876
237;1
238;90
239;1
240;92
241;958
242;1
243;92
244;1
245;391
246;1
247;418
248;810
249;1
250;390
251;1
252;7
253;165
254;1455
255;1
256;1
257;995
258;1
259;76
260;1
261;1
262;1
263;883
264;1
265;1
266;498
267;1
268;752
269;1075
270;471
271;1
272;1
273;179
274;1
275;69
276;1
277;338
278;334
279;1
280;502
281;1
282;1
283;124
284;214
285;992
286;1
287;170
288;117
289;1
290;51
291;43
292;31
293;1
294;112
295;5
296;644
297;1
298;16
299;85
300;1178
301;1
302;70
303;125
304;103
305;1
306;92
307;249
308;145
309;2301
310;1
311;7
312;1
313;201
314;1
315;1
316;169
317;1
318;424
319;1
320;1
321;67
322;31
323;50
324;169
325;1
326;1
327;229
328;1
329;114
330;98
331;1
332;1
333;828
334;1
335;22
336;148
337;1072
338;1
339;705
340;1
341;3
342;1
343;319
344;314
345;1
346;1
347;1
348;37
349;149
350;220
351;74
352;1
353;5
354;20
355;49
356;229
357;1
358;5
359;20
360;139
361;45
362;85
363;111
364;316
365;1
366;144
367;156
368;1
369;393
370;535
371;1
372;101
373;548
374;1
375;1
376;69
377;38
378;614
379;1
380;29
381;181
382;1
383;514
384;1
385;71
386;84
387;151
388;662
389;1
390;1
391;226
392;1
393;1
394;146
395;658
396;1
397;223
398;1
399;1
400;163
401;176
402;1
403;51
404;926
405;1
406;468
407;1
408;1
409;1
410;66
411;244
412;1648
413;1
414;163
415;1
416;1
417;474
418;1
419;583
420;1
421;24
422;213
423;77
424;320
425;3
426;1
427;8
428;5
429;78
430;76
431;428
432;1
433;1
434;1
435;1
436;104
437;1885
438;1
439;184
440;441
441;1
442;1
443;216
444;34
445;1
446;198
447;1
448;680
449;1
450;158
451;33
452;1
453;152
454;1
455;0
456;84
457;171
458;1
459;144
460;1
461;63
462;83
463;677
464;1
465;99
466;168
467;1
468;1
469;76
470;1
471;50
472;22
473;68
474;2275
475;1
476;1
477;127
478;809
479;1
480;57
481;1
482;123
483;1
484;182
485;97
486;1
487;708
488;1
489;221
490;1
491;78
492;5
493;1
494;105
495;1
496;431
497;1
498;151
499;162
500;161
501;1
502;34
503;295
504;1
505;53
506;1
507;102
508;13
509;1
510;366
511;1
512;58
513;395
514;1
515;107
516;1
517;175
518;1
519;1
520;146
521;932
522;1
523;82
524;228
525;1
526;110
527;1
528;220
529;1
530;77
531;122
532;1431
533;1
534;464
535;1
536;1
537;16
538;128
539;1
540;175
541;1
542;367
543;635
544;1
545;166
546;469
547;772
548;1
549;1
550;1
551;245
552;1
553;99
554;153
555;1
556;16
557;284
558;1
559;286
560;1
561;1
562;335
563;1
564;193
565;6
566;1
567;1
568;142
569;803
570;1
571;1
572;41
573;1
574;43
575;299
576;1
577;43
578;1
579;130
580;607
581;1
582;202
583;12
584;1
585;37
586;169
587;1
588;1164
589;1
590;521
591;829
592;1
593;1
594;32
595;160
596;125
597;1
598;222
599;1
600;22
601;16
602;68
603;1200
604;1
605;240
606;1
607;102
608;18
609;336
610;1
611;50
612;1
613;175
614;213
615;1
616;8
617;208
618;1
619;1
620;239
621;189
622;271
623;1
624;94
625;88
626;1
627;105
628;1
629;25
630;94
631;44
632;1
633;96
634;71
635;235
636;5
637;1
638;256
639;216
640;1
641;1
642;416
643;1
644;133
645;4
646;186
647;1
648;814
649;1
650;95
651;171
652;66
653;1
654;99
655;8
656;0
657;1
658;194
659;109
660;1
661;270
662;1
663;792
664;1
665;50
666;26
667;60
668;63
669;1
670;60
671;60
672;290
673;1
674;594
675;1
676;1078
677;1
678;16
679;158
680;619
681;1
682;1
683;166
684;1
685;1
686;196
687;1
688;25
689;157
690;89
691;24
692;1
693;479
694;1
695;1
696;252
697;1
698;39
699;1
700;9
701;96
702;845
703;1
704;1
705;173
706;1
707;222
708;1
709;90
710;138
711;1
712;128
713;1
714;333
715;1
716;1
717;370
718;1
719;72
720;1
721;68
722;160
723;1
724;226
725;1
726;393
727;1
728;92
729;234
730;1
731;1
732;37
733;300
734;1
735;109
736;19
737;71
738;190
739;977
740;1
741;32
742;33
743;44
744;1
745;138
746;1
747;43
748;266
749;1
750;245
751;1
752;282
753;1
754;183
755;1
756;230
757;1
758;202
759;73
760;1
761;74
762;151
763;125
764;1
765;822
766;1
767;116
768;18
769;1
770;1
771;734
772;1
773;79
774;1
775;21
776;97
777;1
778;171
779;1
780;199
781;1
782;1041
783;1
784;357
785;1
786;84
787;185
788;584
789;1
790;1
791;17
792;417
793;1
794;213
795;1
796;72
797;424
798;1
799;55
800;111
801;1
802;175
803;20
804;208
805;510
806;1
807;407
808;166
809;1
810;65
811;792
812;1
813;1
814;86
815;5
816;273
817;1
818;70
819;144
820;1
821;52
822;1
823;1292
824;1
825;93
826;30
827;148
828;281
829;131
830;76
831;1
832;102
833;1
834;155
835;1
836;241
837;1
838;1
839;307
840;1
841;482
842;1
843;28
844;151
845;491
846;1
847;166
848;129
849;1
850;272
851;1
852;1
853;219
854;399
855;56
856;1
857;1
858;119
859;32
860;183
861;1
862;1
863;102
864;716
865;1
866;6
867;46
868;67
869;18
870;78
871;1
872;34
873;215
874;7
875;17
876;165
877;413
878;1
879;141
880;1
881;67
882;42
883;9
884;648
885;1
886;195
887;1
888;1
889;84
890;1
891;200
892;1
893;96
894;1
895;234
896;1
897;41
898;139
899;1
900;135
901;25
902;367
903;1
904;145
905;1
906;352
907;1
908;194
909;398
910;1
911;1
912;555
913;1
914;1
915;475
916;1
917;138
918;57
919;1
920;394
921;1
922;1
923;304
924;78
925;1
926;185
927;1
928;151
929;97
930;17
931;174
932;1
933;74
934;67
935;46
936;60
937;302
938;1
939;1
940;105
941;108
942;32
943;14
944;1
945;1
946;597
947;1
948;53
949;95
950;62
951;61
952;10
953;62
954;58
955;911
956;1
957;154
958;67
959;1
960;542
961;1
962;112
963;1
964;94
965;182
966;1
967;150
968;1
969;1
970;65
971;1
972;200
973;63
974;8
975;744
976;1
977;440
978;205
979;1
980;144
981;1
982;58
983;256
984;1
985;107
986;163
987;1
988;317
989;1
990;162
991;1
992;354
993;1
994;1
995;95
996;43
997;1
998;46
999;507
1000;1
1001;1
1002;430
1003;791
1004;1
1005;1
1006;85
1007;169
1008;1
1009;306
1010;1
1011;232
1012;50
1013;16
1014;1
1015;93
1016;1
1017;122
1018;7
1019;444
1020;1
1021;49
1022;171
1023;1
1024;138
1025;76
1026;115
1027;1
1028;1
1029;187
1030;43
1031;1
1032;109
1033;313
1034;1
1035;1
1036;98
1037;26
1038;57
1039;35
1040;11
1041;12
1042;567
1043;1
1044;132
1045;280
1046;1
1047;189
1048;9
1049;43
1050;72
1051;407
1052;1
1053;42
1054;113
1055;1
1056;29
1057;43
1058;66
1059;151
1060;1
1061;356
1062;1
1063;1
1064;1
1065;451
1066;193
1067;1
1068;21
1069;76
1070;220
1071;74
1072;1
1073;23
1074;122
1075;31
1076;18
1077;10
1078;46
1079;324
1080;110
1081;128
1082;1
1083;8
1084;179
1085;1
1086;4
1087;56
1088;125
1089;139
1090;1
1091;1
1092;115
1093;144
1094;42
1095;158
1096;1
1097;46
1098;13
1099;62
1100;158
1101;10
1102;450
1103;1
1104;1
1105;1
1106;146
1107;1
1108;32
1109;22
1110;125
1111;1
1112;432
1113;1
1114;209
1115;1
1116;72
1117;65
1118;53
1119;170
1120;342
1121;1
1122;147
1123;27
1124;1
1125;494
1126;1
1127;69
1128;59
1129;145
1130;1
1131;44
1132;6
1133;115
1134;677
1135;1
1136;29
1137;112
1138;43
1139;4
1140;4
1141;52
1142;293
1143;383
1144;1
1145;1303
1146;1
1147;106
1148;1
1149;40
1150;85
1151;163
1152;64
1153;58
1154;1
1155;49
1156;1
1157;448
1158;1
1159;111
1160;1
1161;1
1162;327
1163;1
1164;160
1165;101
1166;1
1167;59
1168;30
1169;42
1170;18
1171;369
1172;1
1173;1
1174;6
1175;82
1176;31
1177;211
1178;1
1179;171
1180;1
1181;99
1182;246
1183;1
1184;215
1185;1
1186;76
1187;293
1188;1
1189;1
1190;183
1191;142
1192;1
1193;58
1194;60
1195;334
1196;1
1197;618
1198;1
1199;32
1200;37
1201;58
1202;21
1203;72
1204;46
1205;1
1206;39
1207;35
1208;446
1209;1
1210;1
1211;1
1212;129
1213;480
1214;1
1215;1
