POINT_OF_SALE_ID;PRODUCT_EXTENSION_ID;PRODUCT_ID;IS_BEING_SOLD;MIN_AGE_REQUIREMENT
1;1;11713;1;
1;2;11714;1;
1;3;11715;1;
1;4;11716;1;
1;5;11717;1;
1;6;11718;1;
1;7;11719;1;
1;8;11720;1;
1;9;11721;1;
1;10;11722;1;
1;11;11723;1;
1;12;11724;1;
1;13;11725;1;
1;14;11726;1;
1;15;11727;1;
1;16;11728;1;
1;17;11729;1;
1;18;11730;1;
1;19;11731;1;
1;20;11732;1;
1;21;11733;1;
1;22;11734;1;
1;23;11735;1;
1;24;11736;1;
1;25;11737;1;
1;26;11738;1;
1;27;11739;1;
1;28;11740;1;
1;29;11741;1;
1;30;11742;1;
1;31;11743;1;
1;32;11744;1;
1;33;11745;1;
1;34;11746;1;
1;35;11747;1;
1;36;11748;1;
1;37;11749;1;
1;38;11750;1;
1;39;11751;1;
1;40;11752;1;
1;41;11753;1;
1;42;11754;1;
1;43;11755;1;
1;44;11756;1;
1;45;11757;1;
1;46;11758;1;
1;47;11759;1;
1;48;11760;1;
1;49;11761;1;
1;50;11762;1;
1;51;11763;1;
1;52;11764;1;
1;53;11765;1;
1;54;11766;1;
1;55;11767;1;
1;56;11768;1;
1;57;11769;1;
1;58;11770;1;
1;59;11771;1;
1;60;11772;1;
1;61;11773;1;
1;62;11774;1;
1;63;11775;1;
1;64;11776;1;
1;65;11777;1;
1;66;11778;1;
1;67;11779;1;
1;68;11780;1;
1;69;11781;1;
1;70;11782;1;
1;71;11783;1;
1;72;11784;1;
1;73;11785;1;
1;74;11786;1;
1;75;11787;1;
1;76;11788;1;
1;77;11789;1;
1;78;11790;1;
1;79;11791;1;
1;80;11792;1;
1;81;11793;1;
1;82;11794;1;
1;83;11795;1;
1;84;11796;1;
1;85;11797;1;
1;86;11798;1;
1;87;11799;1;
1;88;11800;1;
1;89;11801;1;
1;90;11802;1;
1;91;11803;1;
1;92;11804;1;
1;93;11805;1;
1;94;11806;1;
1;95;11807;1;
1;96;11808;1;
1;97;11809;1;
1;98;11810;1;
1;99;11811;1;
1;100;11812;1;
1;101;11813;1;
1;102;11814;1;
1;103;11815;1;
1;104;11816;1;
1;105;11817;1;
1;106;11818;1;
1;107;11819;1;
1;108;11820;1;
1;109;11821;1;
1;110;11822;1;
1;111;11823;1;
1;112;11824;1;
1;113;11825;1;
1;114;11826;1;
1;115;11827;1;
1;116;11828;1;
1;117;11829;1;
1;118;11830;1;
1;119;11831;1;
1;120;11832;1;
1;121;11833;1;
1;122;11834;1;
1;123;11835;1;
1;124;11836;1;
1;125;11837;1;
1;126;11838;1;
1;127;11839;1;
1;128;11840;1;
1;129;11841;1;
1;130;11842;1;
1;131;11843;1;
1;132;11844;1;
1;133;11845;1;
1;134;11846;1;
1;135;11847;1;
1;136;11848;1;
1;137;11849;1;
1;138;11850;1;
1;139;11851;1;
1;140;11852;1;
1;141;11853;1;
1;142;11854;1;
1;143;11855;1;
1;144;11856;1;
1;145;11857;1;
1;146;11858;1;
1;147;11859;1;
1;148;11860;1;
1;149;11861;1;
1;150;11862;1;
1;151;11863;1;
1;152;11864;1;
1;153;11865;1;
1;154;11866;1;
1;155;11867;1;
1;156;11868;1;
1;157;11869;1;
1;158;11870;1;
1;159;11871;1;
1;160;11872;1;
1;161;11873;1;
1;162;11874;1;
1;163;11875;1;
1;164;11876;1;
1;165;11877;1;
1;166;11878;1;
1;167;11879;1;
1;168;11880;1;
1;169;11881;1;
1;170;11882;1;
1;171;11883;1;
1;172;11884;1;
1;173;11885;1;
1;174;11886;1;
1;175;11887;1;
1;176;11888;1;
1;177;11889;1;
1;178;11890;1;
1;179;11891;1;
1;180;11892;1;
1;181;11893;1;
1;182;11894;1;
1;183;11895;1;
1;184;11896;1;
1;185;11897;1;
1;186;11898;1;
1;187;11899;1;
1;188;11900;1;
1;189;11901;1;
1;190;11902;1;
1;191;11903;1;
1;192;11904;1;
1;193;11905;1;
1;194;11906;1;
1;195;11907;1;
1;196;11908;1;
1;197;11909;1;
1;198;11910;1;
1;199;11911;1;
1;200;11912;1;
