PRODUCT_ID; CASES_PER_PALLET; UNITS_PER_CASE; PRODUCT_NAME; SRP; RECYCABLAE_PACKAGE; LOW_FAT; RETAIL_PRICE;GROSS_WEIGHT; SHELF_WIDTH; PRODUCER_ID; SKU; PRODUCT_CATEGORY_ID; NET_WEIGHT
0;330;24;ClearLager Hefeweizen;3,73;0;0;3,73;0.5;20.0;496;93812521013;43;0.45
1561;480;12;Planters Almonds (Raw);9,62;0;0;9,62;1.1;6.0;575;45613852706;1;1.0
1562;480;12;Fisher Almonds (Raw);9,62;1;0;9,62;1.1;6.0;576;38647453460;1;1.0
1563;480;12;Wonderful Almonds (Raw);9,62;1;0;9,62;1.1;6.0;577;93269219399;1;1.0
1564;480;12;Planters Almonds (Roasted and Salted);9,62;0;0;9,62;1.1;6.0;575;51984812536;1;1.0
1565;480;12;Fisher Almonds (Roasted and Salted);9,62;1;1;9,62;1.1;6.0;576;25723977596;1;1.0
1566;480;12;Wonderful Almonds (Roasted and Salted);9,62;0;0;9,62;1.1;6.0;577;79661097097;1;1.0
1567;480;12;Planters Walnuts (Halves);9,62;0;1;9,62;1.1;6.0;575;20724181997;1;1.0
1568;480;12;Fisher Walnuts (Halves);9,62;1;1;9,62;1.1;6.0;576;22197744824;1;1.0
1569;480;12;Wonderful Walnuts (Halves);9,62;1;0;9,62;1.1;6.0;577;13484167556;1;1.0
1570;480;12;Planters Pecans (Halves);9,62;0;0;9,62;1.1;6.0;575;87322845985;1;1.0
1571;480;12;Fisher Pecans (Halves);9,62;0;1;9,62;1.1;6.0;576;56535090140;1;1.0
1572;480;12;Wonderful Pecans (Halves);9,62;1;1;9,62;1.1;6.0;577;54596839615;1;1.0
1573;480;12;Planters Cashews (Raw);9,62;1;0;9,62;1.1;6.0;575;54813819166;1;1.0
1574;480;12;Fisher Cashews (Raw);9,62;0;0;9,62;1.1;6.0;576;72554863659;1;1.0
1575;480;12;Wonderful Cashews (Raw);9,62;0;1;9,62;1.1;6.0;577;66642962818;1;1.0
1576;480;12;Planters Cashews (Roasted and Salted);9,62;1;1;9,62;1.1;6.0;575;32342375707;1;1.0
1577;480;12;Fisher Cashews (Roasted and Salted);9,62;1;1;9,62;1.1;6.0;576;97070825133;1;1.0
1578;480;12;Wonderful Cashews (Roasted and Salted);9,62;1;1;9,62;1.1;6.0;577;76371391447;1;1.0
1579;480;12;Planters Macadamia Nuts (Raw);9,62;0;1;9,62;1.1;6.0;575;80863406010;1;1.0
1580;480;12;Fisher Macadamia Nuts (Raw);9,62;0;1;9,62;1.1;6.0;576;24494351002;1;1.0
1581;480;12;Wonderful Macadamia Nuts (Raw);9,62;0;0;9,62;1.1;6.0;577;89960773611;1;1.0
1582;480;12;Planters Macadamia Nuts (Roasted and Salted);9,62;0;1;9,62;1.1;6.0;575;16086404728;1;1.0
1583;480;12;Fisher Macadamia Nuts (Roasted and Salted);9,62;1;1;9,62;1.1;6.0;576;61773499984;1;1.0
1584;480;12;Wonderful Macadamia Nuts (Roasted and Salted);9,62;1;1;9,62;1.1;6.0;577;65147503472;1;1.0
1585;480;12;Planters Pistachios (In Shell);9,62;0;0;9,62;1.1;6.0;575;14025763261;1;1.0
1586;480;12;Fisher Pistachios (In Shell);9,62;1;0;9,62;1.1;6.0;576;81525320226;1;1.0
1587;480;12;Wonderful Pistachios (In Shell);9,62;1;0;9,62;1.1;6.0;577;55862380640;1;1.0
1588;480;12;Planters Pistachios (Shelled;9,62;0;1;9,62;1.1;6.0;575;90833352176;1;1.0
1589;480;12;Fisher Pistachios (Shelled;9,62;0;1;9,62;1.1;6.0;576;93356804225;1;1.0
1590;480;12;Wonderful Pistachios (Shelled;9,62;1;1;9,62;1.1;6.0;577;70125387766;1;1.0
1591;480;12;Planters Roasted and Salted);9,62;0;1;9,62;1.1;6.0;575;73234554524;1;1.0
1592;480;12;Fisher Roasted and Salted);9,62;0;0;9,62;1.1;6.0;576;52860552116;1;1.0
1593;480;12;Wonderful Roasted and Salted);9,62;1;1;9,62;1.1;6.0;577;65945001717;1;1.0
1594;480;12;Planters Brazil Nuts (Raw);9,62;0;1;9,62;1.1;6.0;575;97195259911;1;1.0
1595;480;12;Fisher Brazil Nuts (Raw);9,62;0;0;9,62;1.1;6.0;576;22105894182;1;1.0
1596;480;12;Wonderful Brazil Nuts (Raw);9,62;0;1;9,62;1.1;6.0;577;95982258378;1;1.0
1597;480;12;Planters Hazelnuts (Raw);9,62;0;1;9,62;1.1;6.0;575;17203972187;1;1.0
1598;480;12;Fisher Hazelnuts (Raw);9,62;1;0;9,62;1.1;6.0;576;50721058198;1;1.0
1599;480;12;Wonderful Hazelnuts (Raw);9,62;0;0;9,62;1.1;6.0;577;87507974316;1;1.0
1600;480;12;Planters Hazelnuts (Roasted);9,62;0;1;9,62;1.1;6.0;575;24260102618;1;1.0
1601;480;12;Fisher Hazelnuts (Roasted);9,62;1;0;9,62;1.1;6.0;576;66379799496;1;1.0
1602;480;12;Wonderful Hazelnuts (Roasted);9,62;0;1;9,62;1.1;6.0;577;45444054285;1;1.0
1603;480;12;Planters Pine Nuts (Raw);9,62;0;0;9,62;1.1;6.0;575;61667553783;1;1.0
1604;480;12;Fisher Pine Nuts (Raw);9,62;1;0;9,62;1.1;6.0;576;55000016557;1;1.0
1605;480;12;Wonderful Pine Nuts (Raw);9,62;1;1;9,62;1.1;6.0;577;33442436555;1;1.0
1606;480;12;Planters Mixed Nuts (Deluxe Mix;9,62;0;0;9,62;1.1;6.0;575;53100945315;1;1.0
1607;480;12;Fisher Mixed Nuts (Deluxe Mix;9,62;0;0;9,62;1.1;6.0;576;13045482910;1;1.0
1608;480;12;Wonderful Mixed Nuts (Deluxe Mix;9,62;1;0;9,62;1.1;6.0;577;97281181668;1;1.0
1609;480;12;Planters No Peanuts);9,62;1;0;9,62;1.1;6.0;575;44251053115;1;1.0
1610;480;12;Fisher No Peanuts);9,62;0;0;9,62;1.1;6.0;576;98496507751;1;1.0
1611;480;12;Wonderful No Peanuts);9,62;0;0;9,62;1.1;6.0;577;35422937196;1;1.0
1612;480;12;Planters Mixed Nuts (Roasted and Salted);9,62;0;0;9,62;1.1;6.0;575;13816806213;1;1.0
1613;480;12;Fisher Mixed Nuts (Roasted and Salted);9,62;0;0;9,62;1.1;6.0;576;59911153383;1;1.0
1614;480;12;Wonderful Mixed Nuts (Roasted and Salted);9,62;1;0;9,62;1.1;6.0;577;96506194518;1;1.0
1615;480;12;Planters Peanuts (Honey Roasted);9,62;0;1;9,62;1.1;6.0;575;69925737892;1;1.0
1616;480;12;Fisher Peanuts (Honey Roasted);9,62;0;0;9,62;1.1;6.0;576;39516467174;1;1.0
1617;480;12;Wonderful Peanuts (Honey Roasted);9,62;1;0;9,62;1.1;6.0;577;42835571056;1;1.0
1618;480;12;Planters Peanuts (Dry Roasted;9,62;1;0;9,62;1.1;6.0;575;13882002119;1;1.0
1619;480;12;Fisher Peanuts (Dry Roasted;9,62;0;1;9,62;1.1;6.0;576;68006337098;1;1.0
1620;480;12;Wonderful Peanuts (Dry Roasted;9,62;1;1;9,62;1.1;6.0;577;87397799418;1;1.0
1621;480;12;Planters Unsalted);9,62;0;1;9,62;1.1;6.0;575;52078316190;1;1.0
1622;480;12;Fisher Unsalted);9,62;1;1;9,62;1.1;6.0;576;58768479338;1;1.0
1623;480;12;Wonderful Unsalted);9,62;0;1;9,62;1.1;6.0;577;55902638076;1;1.0
1624;480;12;Planters Marcona Almonds;9,62;1;0;9,62;1.1;6.0;575;99891912342;1;1.0
1625;480;12;Fisher Marcona Almonds;9,62;0;0;9,62;1.1;6.0;576;24910941980;1;1.0
1626;480;12;Wonderful Marcona Almonds;9,62;1;1;9,62;1.1;6.0;577;51489790702;1;1.0
1627;480;12;Planters Nut Mix with Dried Fruits;9,62;0;0;9,62;1.1;6.0;575;97866145930;1;1.0
1628;480;12;Fisher Nut Mix with Dried Fruits;9,62;1;1;9,62;1.1;6.0;576;92377197639;1;1.0
1629;480;12;Wonderful Nut Mix with Dried Fruits;9,62;0;0;9,62;1.1;6.0;577;33113621542;1;1.0
1630;240;6;SeaPak Shrimp (Raw);13,90;0;1;13,90;2.5;8.0;578;44037578226;2;2.0
1631;240;6;Gortons Shrimp (Raw);13,90;0;0;13,90;2.5;8.0;579;41646078549;2;2.0
1632;240;6;Philips Seafood Shrimp (Raw);13,90;1;1;13,90;2.5;8.0;580;63978744837;2;2.0
1633;240;6;SeaPak Shrimp (Cooked and Peeled);13,90;1;0;13,90;2.5;8.0;578;49033929032;2;2.0
1634;240;6;Gortons Shrimp (Cooked and Peeled);13,90;0;0;13,90;2.5;8.0;579;80632906397;2;2.0
1635;240;6;Philips Seafood Shrimp (Cooked and Peeled);13,90;1;0;13,90;2.5;8.0;580;87250327946;2;2.0
1636;240;6;SeaPak Lobster Tail;13,90;1;0;13,90;2.5;8.0;578;26670949970;2;2.0
1637;240;6;Gortons Lobster Tail;13,90;1;1;13,90;2.5;8.0;579;46527887180;2;2.0
1638;240;6;Philips Seafood Lobster Tail;13,90;1;0;13,90;2.5;8.0;580;33566814381;2;2.0
1639;240;6;SeaPak Crab Legs (King Crab);13,90;1;0;13,90;2.5;8.0;578;64278348656;2;2.0
1640;240;6;Gortons Crab Legs (King Crab);13,90;0;1;13,90;2.5;8.0;579;60926016246;2;2.0
1641;240;6;Philips Seafood Crab Legs (King Crab);13,90;1;0;13,90;2.5;8.0;580;14762056631;2;2.0
1642;240;6;SeaPak Snow Crab Clusters;13,90;0;0;13,90;2.5;8.0;578;76898343323;2;2.0
1643;240;6;Gortons Snow Crab Clusters;13,90;1;1;13,90;2.5;8.0;579;40128860912;2;2.0
1644;240;6;Philips Seafood Snow Crab Clusters;13,90;0;0;13,90;2.5;8.0;580;33759109598;2;2.0
1645;240;6;SeaPak Dungeness Crab;13,90;1;0;13,90;2.5;8.0;578;33382367753;2;2.0
1646;240;6;Gortons Dungeness Crab;13,90;0;1;13,90;2.5;8.0;579;73546238080;2;2.0
1647;240;6;Philips Seafood Dungeness Crab;13,90;1;0;13,90;2.5;8.0;580;93086551669;2;2.0
1648;240;6;SeaPak Clams (Whole);13,90;0;0;13,90;2.5;8.0;578;47972080103;2;2.0
1649;240;6;Gortons Clams (Whole);13,90;1;0;13,90;2.5;8.0;579;53681836581;2;2.0
1650;240;6;Philips Seafood Clams (Whole);13,90;0;0;13,90;2.5;8.0;580;82329406774;2;2.0
1651;240;6;SeaPak Clams (Chopped);13,90;1;1;13,90;2.5;8.0;578;76634572058;2;2.0
1652;240;6;Gortons Clams (Chopped);13,90;0;1;13,90;2.5;8.0;579;86713369986;2;2.0
1653;240;6;Philips Seafood Clams (Chopped);13,90;0;0;13,90;2.5;8.0;580;98621349600;2;2.0
1654;240;6;SeaPak Mussels (Fresh);13,90;0;0;13,90;2.5;8.0;578;17257717206;2;2.0
1655;240;6;Gortons Mussels (Fresh);13,90;0;0;13,90;2.5;8.0;579;35578420413;2;2.0
1656;240;6;Philips Seafood Mussels (Fresh);13,90;0;0;13,90;2.5;8.0;580;15434866370;2;2.0
1657;240;6;SeaPak Mussels (Cooked);13,90;0;0;13,90;2.5;8.0;578;99614739145;2;2.0
1658;240;6;Gortons Mussels (Cooked);13,90;1;1;13,90;2.5;8.0;579;35266485758;2;2.0
1659;240;6;Philips Seafood Mussels (Cooked);13,90;0;1;13,90;2.5;8.0;580;27926759194;2;2.0
1660;240;6;SeaPak Oysters (Fresh);13,90;1;0;13,90;2.5;8.0;578;11514184752;2;2.0
1661;240;6;Gortons Oysters (Fresh);13,90;0;0;13,90;2.5;8.0;579;28019103278;2;2.0
1662;240;6;Philips Seafood Oysters (Fresh);13,90;1;1;13,90;2.5;8.0;580;29211826100;2;2.0
1663;240;6;SeaPak Oysters (Shucked);13,90;0;0;13,90;2.5;8.0;578;68859612809;2;2.0
1664;240;6;Gortons Oysters (Shucked);13,90;1;0;13,90;2.5;8.0;579;99682554770;2;2.0
1665;240;6;Philips Seafood Oysters (Shucked);13,90;1;0;13,90;2.5;8.0;580;54346415558;2;2.0
1666;240;6;SeaPak Scallops (Bay);13,90;0;1;13,90;2.5;8.0;578;21074219014;2;2.0
1667;240;6;Gortons Scallops (Bay);13,90;0;0;13,90;2.5;8.0;579;19968648862;2;2.0
1668;240;6;Philips Seafood Scallops (Bay);13,90;0;1;13,90;2.5;8.0;580;11969223273;2;2.0
1669;240;6;SeaPak Scallops (Diver-Caught);13,90;1;1;13,90;2.5;8.0;578;64274183806;2;2.0
1670;240;6;Gortons Scallops (Diver-Caught);13,90;1;0;13,90;2.5;8.0;579;78346456420;2;2.0
1671;240;6;Philips Seafood Scallops (Diver-Caught);13,90;1;1;13,90;2.5;8.0;580;40627749840;2;2.0
1672;240;6;SeaPak Cockles;13,90;0;1;13,90;2.5;8.0;578;87715023314;2;2.0
1673;240;6;Gortons Cockles;13,90;0;1;13,90;2.5;8.0;579;86543233654;2;2.0
